State,Bachelor
Alabama,24.5
Alaska,29
Arizona,28.4
Arkansas,22
California,32.6
Colorado,39.4
Connecticut,38.4
Delaware,31
Florida,28.5
Georgia,29.9
Hawaii,32
Idaho,26.8
Illinois,33.4
Indiana,25.3
Iowa,27.7
Kansas,32.3
Kentucky,23.2
Louisiana,23.4
Maine,30.3
Maryland,39
Massachusetts,42.1
Michigan,28.1
Minnesota,34.8
Mississippi,21.3
Missouri,28.2
Montana,30.7
Nebraska,30.6
Nevada,23.7
New Hampshire,36
New Jersey,38.1
New Mexico,26.9
New York,35.3
North Carolina,29.9
North Dakota,28.9
Ohio,27.2
Oklahoma,24.8
Oregon,32.3
Pennsylvania,30.1
Rhode Island,33
South Carolina,27
South Dakota,27.8
Tennessee,26.1
Texas,28.7
Utah,32.5
Vermont,36.8
Virginia,37.6
Washington,34.5
West Virginia,19.9
Wisconsin,29
Wyoming,26.7
