State Name,Stars
Alabama,4
Alaska,5
Arizona,5
Arkansas,3
California,1
Colorado,3
Connecticut,3
Delaware,2
Florida,4
Georgia,4
Hawaii,1
Idaho,5
Illinois,2
Indiana,4
Iowa,3
Kansas,5
Kentucky,4
Louisiana,3
Maine,5
Maryland,1
Massachusetts,2
Michigan,3
Minnesota,2
Mississippi,5
Missouri,5
Montana,4
Nebraska,3
Nevada,3
New Hampshire,5
New Jersey,1
New Mexico,4
New York,1
North Carolina,4
North Dakota,4
Ohio,4
Oklahoma,4
Oregon,3
Pennsylvania,4
Rhode Island,3
South Carolina,3
South Dakota,4
Tennessee,4
Texas,4
Utah,4
Vermont,5
Virginia,4
Washington,3
West Virginia,5
Wisconsin,4
Wyoming,5
